	ZAM1_s1_YZA	ZAM1_s2_YZA	ZAM1_s3_YZA	ZAM1_s4_YZA	ZAM1_s5_YZA	ZAM1_s6_YZA	ZAM1_s7_YZA	ZAM1_s8_YZA	ZAM1_s9_YZA	ZAM1_s10_YZA	ZAM1_s11_OZA	ZAM1_s12_OZA	ZAM1_s13_OZA	ZAM1_s14_OZA	ZAM1_s15_OZA	ZAM1_s17_OZA	ZAM1_s18_OZA	ZAM1_s19_OZA	ZAM1_s20_YZS	ZAM1_s21_YZS	ZAM1_s22_YZS	ZAM1_s23_YZS	ZAM1_s24_YZS	ZAM1_s25_YZS	ZAM1_s26_YZS	ZAM1_s27_YZS	ZAM1_s28_YZS	ZAM1_s29_YZS	ZAM1_s30_OZS	ZAM1_s31_OZS	ZAM1_s32_OZS	ZAM1_s33_OZS	ZAM1_s34_OZS	ZAM1_s36_OZS	ZAM1_s37_OZS	ZAM1_s38_OZS	ZAM1_s39_YZA	ZAM1_s40_YZA	ZAM1_s41_YZA	ZAM1_s43_YZA	ZAM1_s44_YZA	ZAM1_s45_YZA	ZAM1_s46_YZA	ZAM1_s47_YZA	ZAM1_s48_YZA	ZAM1_s49_OZA	ZAM1_s50_OZA	ZAM1_s51_OZA	ZAM1_s52_OZA	ZAM1_s53_OZA	ZAM1_s54_OZA	ZAM1_s55_OZA	ZAM1_s56_OZA	ZAM1_s58_YZS	ZAM1_s59_YZS	ZAM1_s60_YZS	ZAM1_s61_YZS	ZAM1_s62_YZS	ZAM1_s63_YZS	ZAM1_s65_YZS	ZAM1_s66_YZS	ZAM1_s67_OZS	ZAM1_s69_OZS	ZAM1_s70_OZS	ZAM1_s71_OZS	ZAM1_s72_OZS	ZAM1_s73_OZS	ZAM1_s74_OZS	ZAM1_s75_OZS
ZAM1_s1_YZA	0.0	0.21035758222925482	0.21152105391645876	0.14321414089587287	0.09224742539308842	0.15680478770364117	0.14096983596075002	0.1697247537733823	0.0836443128488621	0.22251550938644069	2.1180104073756714	2.2001333225812814	2.440406586087348	2.5744744925767686	2.160790861003592	2.4493418208969557	1.846263005596338	2.0523064562111526	0.11213006143300491	0.1665428959299459	0.29469137686618513	0.1333949348237658	0.21354304267545426	0.05798132000000273	0.16406036115713174	0.22360834094510462	0.03426238756682202	0.1066250235141518	1.8348072148058514	2.3792071470501064	2.164917721158672	1.9398784258881214	1.8496700393362981	2.2363186203144148	2.3537125000324015	2.47961564511233	0.05608937208406984	1.0251148764741485	0.2502977967480013	0.24684082790903153	0.29415333563164336	0.5038661365144146	0.46745375714058496	0.35670855736874374	0.9385851650443822	2.099974368445712	2.4297902782365814	2.4332870911741384	2.298003827247387	2.214118800359857	2.0019759097409153	1.6826982558869266	1.9651799534208907	0.149258580282461	0.19015088339574282	0.22248166158771743	0.0948055729557848	0.520371054905411	0.15857776199831083	0.3708940794560001	0.2737625964969546	1.6609513061871621	2.232280438641886	1.7581051966125958	2.072843374301385	1.9165940978196465	2.266188598754991	1.9338609887517502	2.4001751884179576
ZAM1_s2_YZA	0.21035758222925482	0.0	0.020260828887341813	0.2658030517017595	0.26397239141285056	0.33379688593878404	0.22182066073741621	0.0744118325489916	0.12742181713690368	0.21883141215796423	1.94244412902662	2.0285964856373555	2.2599914173048843	2.3792447925113662	1.9921813870906075	2.2627130006134357	1.68841441478381	1.8793310605843554	0.18871994452959706	0.10271174026839186	0.4303082896095822	0.2645252382737164	0.4068243948073227	0.26810497146682644	0.05874348800411225	0.17910465905696965	0.1839464964200951	0.2696160023834964	1.6719769770663022	2.195898839422671	1.991440542116858	1.758694235597109	1.6866682165454803	2.0565690411287156	2.176069214622391	2.2831028946553444	0.19460566669468532	0.8952217734233947	0.20273315264249375	0.2660417987201981	0.3087159426481852	0.34737922630543844	0.3352736357040591	0.21833878242456117	0.8332315088613681	1.9313343234782965	2.2413729524740904	2.2468544370327406	2.1269422310692434	2.048190351612508	1.8097666756433421	1.5160378882200634	1.7998011755414918	0.061103801350776255	0.11285523219666323	0.37708036779070186	0.28333899421984354	0.31775029952047923	0.16195993888729074	0.3116523333240431	0.29817870534306196	1.4917642295176148	2.0626044248786393	1.5901945350006603	1.8993180766180369	1.736311586220435	2.0825563948076966	1.7624203799256088	2.2046535876369804
ZAM1_s3_YZA	0.21152105391645876	0.020260828887341813	0.0	0.255679950715551	0.2712037568653062	0.3272568355579268	0.23496834280136428	0.09057869582103378	0.1278786670960289	0.23705662194520397	1.954007856131441	2.0407166307536424	2.270718347689679	2.38698899000278	2.0047063382841284	2.2723392020609845	1.7023335552280254	1.8912911819430793	0.20036284229549522	0.11928671884753542	0.44322740580784326	0.2753589811309817	0.40174499415894904	0.2686171054172917	0.07188804996937699	0.1982744874276864	0.18746296375257648	0.277838789988938	1.6853304753119995	2.2061465735866874	2.0032969170264128	1.7694228709543762	1.699995556695113	2.0674504408529084	2.1872577514096494	2.29053570687479	0.20107940332182367	0.9121758148766737	0.2223740831807085	0.2840335365298177	0.32738837011644106	0.3635517913578347	0.3535140075465863	0.2371017277354122	0.8517080306957773	1.9438723949326897	2.250653912453817	2.256521049885865	2.139103281335219	2.0610448910008774	1.818343279610838	1.5289848485707784	1.8127978092137698	0.06435349925043762	0.09516492936974942	0.38786363541802477	0.2891714819217373	0.3250823102520795	0.17771331207801308	0.3319094800497608	0.3163484542488886	1.504393276154592	2.074969230001381	1.6029475736042011	1.9111935331768604	1.7471981149349063	2.0927720204354077	1.7746337125468008	2.212353948452865
ZAM1_s4_YZA	0.14321414089587287	0.2658030517017595	0.255679950715551	0.0	0.22706421081754283	0.09013449577536341	0.2833161161321088	0.26373096001639423	0.16561404315997852	0.35828491198530577	2.207993223914483	2.293633790597174	2.5257937960941104	2.6416694878562073	2.256669817530054	2.528008041944323	1.9497941779125398	2.144554376639784	0.25109009689042644	0.27415587491138876	0.42349460541125333	0.2746276505529978	0.1680656092582769	0.1434659814044883	0.24696633564555864	0.3499803938090027	0.16812035687872814	0.24258876805428528	1.9349022612849942	2.461593772354871	2.256756386678646	2.0244959836419083	1.9496508312657224	2.3223674481974594	2.4418004132146036	2.544839204038409	0.1972778903524418	1.1423274557277214	0.3784766076632961	0.3874544809913359	0.4355795990595307	0.6039607500289669	0.5787260041749059	0.4620034501375963	1.0648265821981282	2.1958102127788828	2.506323817183353	2.5121841217338714	2.391922822254568	2.312099021257153	2.0737752697901795	1.7798854397440336	2.0634779434789996	0.2162965238157384	0.1796182943920697	0.34792285107634763	0.21809066460923449	0.5801868271058158	0.28809219438759825	0.5025039536480588	0.41564836961485513	1.756174232932464	2.327322886670459	1.8543761946084556	2.1646220619167633	2.0021107352684337	2.348236821560857	2.027371424937721	2.466998371909583
ZAM1_s5_YZA	0.09224742539308842	0.26397239141285056	0.2712037568653062	0.22706421081754283	0.0	0.21175570998949259	0.0926348842702477	0.20262339201067175	0.15363317367860818	0.1859822366334443	2.1104050018458627	2.1893614027900736	2.4360304612001205	2.5839518512110127	2.1480189325316754	2.450323018358792	1.8272155729309065	2.042912352933132	0.09223781617528747	0.18627438910621053	0.20244395265728662	0.05349517914109852	0.24241818645469296	0.09058992943308324	0.20759606011726736	0.20623895133051007	0.09228019398739142	0.015586973372447377	1.818979312263175	2.3773576666813607	2.155641736255029	1.9371317300099666	1.8339084379064534	2.231754273880363	2.347254071477516	2.490679399456711	0.0704015429235248	0.9954300867406299	0.22647943191718095	0.19325592520469098	0.2345792392571455	0.5005595067221855	0.4535873373290763	0.35490858696334415	0.8984374882105952	2.0873606104893976	2.4324628834285145	2.434113514771782	2.2866938790608557	2.1993836738695833	2.0091239859745698	1.6699384676650026	1.9506653655298383	0.207126344558613	0.2728449775544163	0.13091050635952287	0.027502478853361278	0.5496620693020712	0.1477645899034132	0.33247695223504814	0.2130534284172081	1.6500094752273191	2.2201089595327206	1.7459359711598923	2.063807042661742	1.9131707801260445	2.264810757095627	1.92364966717336	2.4102046301131153
ZAM1_s6_YZA	0.15680478770364117	0.33379688593878404	0.3272568355579268	0.09013449577536341	0.21175570998949259	0.0	0.2903770474482768	0.31481768658239384	0.21541872355028246	0.3776699989038573	2.267678130708173	2.3512267559445563	2.5881798961388984	2.7129035382649027	2.312755059496884	2.5939161111050404	2.0005867759038996	2.2028692404696817	0.26712617997860344	0.31790672690432714	0.38591957474074073	0.264949429184442	0.07874526636312233	0.12192614315771909	0.3028154059068047	0.38039406133723147	0.19031127291009556	0.22662555676951576	1.9881040235784055	2.5255754346705808	2.315353385384538	2.0871338070842693	2.002935213265749	2.3843299791033457	2.5026508304589434	2.616871430134682	0.21120755428945848	1.181766681271672	0.4070681735633673	0.3973132733386978	0.44236041275911253	0.6556455096449733	0.6225903806796055	0.5095908648497032	1.0949914003429404	2.2519063440121707	2.5732745725033634	2.5779721530429325	2.4492817952695622	2.3668279700575563	2.142782109814893	1.834966420133674	2.1179296631474993	0.27735394462539237	0.26270406751311015	0.31044690311095474	0.19301965811228136	0.6515241580284299	0.3153823901809798	0.5267967073187843	0.42115558925405894	1.8125013399101204	2.383959745777064	1.9100790256961548	2.2232266838361925	2.0642496237598853	2.4123611888824894	2.0848749864656133	2.538336292680658
ZAM1_s7_YZA	0.14096983596075002	0.22182066073741621	0.23496834280136428	0.2833161161321088	0.0926348842702477	0.2903770474482768	0.0	0.1490872106315119	0.15255570990336928	0.09340295493208238	2.0182806704871985	2.096945788674729	2.3442707613181657	2.4951675745958815	2.0554856735653857	2.3594740434765837	1.7345999187113044	1.9506188546706933	0.039237274290642096	0.1241079408330325	0.20848815570794996	0.05448266913691153	0.33113813466596276	0.1700821784074133	0.16340646431695602	0.1166194872931734	0.11632858459712865	0.08493538429892925	1.726356894695663	2.2859974744996796	2.063348351014987	1.845700652719919	1.7412868555207186	2.1399936408170577	2.2552342646374814	2.4023982515897604	0.08607999568366986	0.9035364717691363	0.13455411095354272	0.10700673542914634	0.15336298855269256	0.4106478159982351	0.3616880595878559	0.26691259257983185	0.8087835180271596	1.9948382009777796	2.3419713783768366	2.343236469689025	2.1942360285263582	2.1067760277167205	1.9198498138694347	1.5774362857602506	1.8580708015129386	0.17816127807861387	0.26887981525635685	0.15996582019352285	0.12001214524098797	0.47416140779528987	0.06891385709782728	0.2411507293281684	0.13281302110999282	1.5576310306728012	2.1276033608502063	1.6534617818999384	1.9715439488866087	1.8216352771208815	2.1735500231322873	1.8312984024482617	2.32162949325112
ZAM1_s8_YZA	0.1697247537733823	0.0744118325489916	0.09057869582103378	0.26373096001639423	0.20262339201067175	0.31481768658239384	0.1490872106315119	0.0	0.10012937016368777	0.1479683654121595	1.952889567870929	2.0364685912333167	2.273828407528345	2.4048585797568243	1.9982164473371715	2.28110661383346	1.6879734056675815	1.8880599745371207	0.11889494073225762	0.028745431813680156	0.35722669499419435	0.19509882303037682	0.38058845131995706	0.22656559339399968	0.023452554618099017	0.11330335559066844	0.13743634071841454	0.20569478295846186	1.67437419389057	2.2117913546992765	2.0005379035143593	1.7729370599060599	1.6891760657871369	2.069890860956127	2.1879782358786706	2.309920246107599	0.13790340654216612	0.8790241318386809	0.140251676005641	0.19433142854337285	0.23904613820579532	0.3418416463178231	0.3151617403083585	0.19829043321505727	0.8059013071909503	1.9373608247177527	2.261162554884785	2.2650948385349965	2.1345517306166664	2.0526281325813973	1.8326441108593254	1.5206057427133188	1.8037853470455838	0.05699063564374274	0.1566441350537629	0.3069759456033034	0.22523019551906842	0.35246498372298213	0.0875510431818244	0.25951984864392513	0.22687440122511962	1.497872521962079	2.069326018556518	1.595581312928946	1.9084103819209464	1.7499056499962158	2.0986627539471003	1.7701138159315002	2.230531928078451
ZAM1_s9_YZA	0.0836443128488621	0.12742181713690368	0.1278786670960289	0.16561404315997852	0.15363317367860818	0.21541872355028246	0.15255570990336928	0.10012937016368777	0.0	0.20405749562186368	2.0523948598849135	2.136300462785381	2.3727637147139267	2.500079970964546	2.0982038903990192	2.378914289975334	1.7880628014109445	1.9877874343046964	0.11345714492342668	0.1085452734956848	0.34599429026630696	0.1736642235913124	0.28386482673398683	0.1409229183304936	0.08752999356167376	0.18771874192509502	0.06269446080671645	0.16366425479465577	1.774499529798989	2.3102590426562455	2.100229576217436	1.871731047841686	1.7893001921662532	2.1689113081093403	2.2872701752284876	2.4045957326446596	0.08509824131938981	0.9769152315611035	0.21660731545718862	0.24135821584752354	0.2902645781497477	0.4419660074092363	0.41366966748502687	0.297761088837366	0.8996983610357167	2.037346035633617	2.3585447447579138	2.3629450597167327	2.234415092921373	2.152706839674846	1.9288946292703457	1.6206574347242826	1.9038748880732665	0.0665005774365143	0.12111651744267238	0.28084713264255884	0.16691379540767184	0.4415193854721669	0.13080742846164092	0.34106137640552253	0.272810696794455	1.5978229175516467	2.1692648491641595	1.6955904016919914	2.008095512325423	1.848832971415321	2.1970658338711053	1.8699452923058546	2.325618507850644
ZAM1_s10_YZA	0.22251550938644069	0.21883141215796423	0.23705662194520397	0.35828491198530577	0.1859822366334443	0.3776699989038573	0.09340295493208238	0.1479683654121595	0.20405749562186368	0.0	1.9260714392979328	2.0042366277005637	2.252602200442063	2.4074262498994545	1.962540637735433	2.2690775108377825	1.6412356210090642	1.8581320632733418	0.11062289765297421	0.11974775052477905	0.24801383355977327	0.14208660699508655	0.4230938518305927	0.2602566103558001	0.17029012155986217	0.04673499267627324	0.19176766945551027	0.17743301589597874	1.633167227666316	2.1949044899579273	1.9708578062000173	1.7545461385170216	1.648100672197664	2.0483351834333483	2.1631790237385737	2.3153019194021645	0.16677578791676093	0.8105008014560765	0.04737572398718157	0.04753835893631756	0.09126130835392915	0.3232416050001303	0.2705464417374434	0.18541897368287716	0.7179099422034123	1.9019180423217816	2.2520545882359233	2.2528034777355304	2.101444479332483	2.0136382123051195	1.8315934583843765	1.4845694703840913	1.7649755750484337	0.19872206652136046	0.2998897496999893	0.22421252051701138	0.2132722269452753	0.408711794534837	0.07333691009591732	0.14942705168668324	0.07934790098094033	1.4650093745805681	2.0347168438626753	1.5606509276155347	1.8791083005390377	1.7303322724879424	2.0826051302417725	1.7387146314515018	2.234180173234661
ZAM1_s11_OZA	2.1180104073756714	1.94244412902662	1.954007856131441	2.207993223914483	2.1104050018458627	2.267678130708173	2.0182806704871985	1.952889567870929	2.0523948598849135	1.9260714392979328	0.0	0.10959852366588056	0.333721579681119	0.6350855181108273	0.1268100822031431	0.3970195622773979	0.37155280382388806	0.07796841535329303	2.0232101278536194	1.9517296331788907	2.107856184431485	2.0680001667402474	2.331533886097922	2.1702685122416434	1.965346862953204	1.9050543752380495	2.0838637741505277	2.1031316273479637	0.3373211609487202	0.2989863496955633	0.06028396219334266	0.20565255461381154	0.32432905408466073	0.1397171743412701	0.23795517192213536	0.5940767574100335	2.0719560159548736	1.1608066242868165	1.883932515203951	1.9319301921663359	1.9077639428827862	1.614324488435399	1.656845552572204	1.761737149978867	1.300285744694838	0.11674133027864994	0.40537792336217915	0.3810040254773696	0.19911595139196372	0.19197232580971652	0.34680122227723265	0.45062423306794724	0.2190838650881051	1.9931064803134049	2.0419895409586135	2.127124756560365	2.137906994515396	1.6376464102597343	1.9676755875717176	1.7897501771467244	1.9266139156390232	0.463877846936481	0.15560308471127776	0.37473425630214646	0.056276397310109146	0.21932180098813994	0.21161425974344947	0.19415235062588462	0.5201682475594099
ZAM1_s12_OZA	2.2001333225812814	2.0285964856373555	2.0407166307536424	2.293633790597174	2.1893614027900736	2.3512267559445563	2.096945788674729	2.0364685912333167	2.136300462785381	2.0042366277005637	0.10959852366588056	0.0	0.2918908716353587	0.6485703564670433	0.06235100127686472	0.39066882901883265	0.40193233486137	0.1505801329863178	2.103299610714045	2.0342794079374844	2.1793039422922376	2.1458102697297425	2.413639657706314	2.251522153136858	2.0496181200026236	1.984857693302322	2.165910910434422	2.1816027358132173	0.3843013124637735	0.28768220678520445	0.049500297015485306	0.31315632757598094	0.3697568353929582	0.15460210103204686	0.18879190285633124	0.6244766973038398	2.15300893000805	1.2256466115232936	1.9629807341184167	2.0082264533534975	1.9823502736872545	1.696301673709981	1.7363580197472703	1.8434525957835397	1.360918536714723	0.10992513258253932	0.41164903222825366	0.3765707209998795	0.0985071338198519	0.09621883103652779	0.4494257371862897	0.5202483030200347	0.25163881598225224	2.0780654402835546	2.1298299800677967	2.2013535496445593	2.2168406660023825	1.7272119377636657	2.0481104608201774	1.8655116147705093	2.0016128411818097	0.5394343167214164	0.04617011802947488	0.44385800761309285	0.1327237629945076	0.32433474752616953	0.23832187689138304	0.26635551385973144	0.5592176839323991
ZAM1_s13_OZA	2.440406586087348	2.2599914173048843	2.270718347689679	2.5257937960941104	2.4360304612001205	2.5881798961388984	2.3442707613181657	2.273828407528345	2.3727637147139267	2.252602200442063	0.333721579681119	0.2918908716353587	0.0	0.40227561726574457	0.35281012133400474	0.14243627679011037	0.6907180736580051	0.409262634480793	2.34786857716022	2.273886409394814	2.438700776112112	2.3946721847922694	2.653682962158535	2.4935522598063615	2.2853993379016653	2.230144390431422	2.4063919083467913	2.4291995514990945	0.6658661190965979	0.08915648691137443	0.30368341019962297	0.5013010007611588	0.6520195007376537	0.20427751155505708	0.10310481049980054	0.4149406048214264	2.3955766970609105	1.4942496536079868	2.2097470138015307	2.2599326289299286	2.236967461365997	1.9377314758493096	1.9825829377811246	2.0851348961863185	1.634006576561782	0.3997759781207519	0.18617899578079472	0.13748234046644833	0.23042262423123439	0.3495519647987157	0.5134366301374053	0.7841199202714693	0.5376448879442632	2.312210223837083	2.356766936786325	2.456379965949083	2.463523577959667	1.950611119644303	2.2920665879782556	2.118286492427766	2.2555307456199243	0.7959833436549261	0.28990982327333537	0.7084031817446053	0.3870623975174775	0.5239315549568302	0.18890314339846423	0.5278303587463229	0.37978813253188703
ZAM1_s14_OZA	2.5744744925767686	2.3792447925113662	2.38698899000278	2.6416694878562073	2.5839518512110127	2.7129035382649027	2.4951675745958815	2.4048585797568243	2.500079970964546	2.4074262498994545	0.6350855181108273	0.6485703564670433	0.40227561726574457	0.0	0.709848257713979	0.2655514562158112	1.0028618931104032	0.7097450478215164	2.4926974099730925	2.409563542104256	2.616095452140607	2.5481269812337155	2.7839424451721344	2.630482063858158	2.412971556863841	2.378686820956727	2.5414784990065504	2.5792801181913894	0.9598144201579275	0.3647307460008269	0.6370608328985352	0.7061121575283363	0.9487114739115571	0.5027866125945084	0.48301435854140967	0.10378182023125965	2.5352793204861483	1.7143707330924212	2.3618826238812303	2.4220814734269007	2.4061853649401903	2.0846821959010255	2.138433693945225	2.229064123499987	1.8619416248493053	0.7386630497670731	0.23707799527425769	0.2766918133181883	0.6185318285048381	0.728845425108917	0.5766704544370144	1.0329267842475243	0.8532355362470329	2.4359357075384422	2.4652886472796776	2.6230038353734746	2.6110363635344567	2.061908826095778	2.4365833853733663	2.2855197335439748	2.4228066896020395	1.030982264327279	0.6640570458883096	0.9661498774489939	0.6899164219124932	0.7336361453042916	0.4236998478387922	0.8061595406540238	0.17469709869168154
ZAM1_s15_OZA	2.160790861003592	1.9921813870906075	2.0047063382841284	2.256669817530054	2.1480189325316754	2.312755059496884	2.0554856735653857	1.9982164473371715	2.0982038903990192	1.962540637735433	0.1268100822031431	0.06235100127686472	0.35281012133400474	0.709848257713979	0.0	0.4528930528995252	0.34617773563515275	0.13195498662423302	2.0627120550178026	1.9953318003210625	2.13378521024843	2.1038068140743382	2.3741657137406995	2.211581631665903	2.0118361973226566	1.9441755849035223	2.1265400129433987	2.1399713873764856	0.33428472021622935	0.34989984330477353	0.08255719584874689	0.31034571524925314	0.3194520379233173	0.21162511067863346	0.24988702873835678	0.6833180461582321	2.1129997824708475	1.1779341803358612	1.9218494246162647	1.9654351242827808	1.9386197046983868	1.6572708073946218	1.6957101883430634	1.8041069948234771	1.3111830545761856	0.06086260958765255	0.4731456294756966	0.4386966187845098	0.1424729719531836	0.07031042211244555	0.47311491565393804	0.4782247801918837	0.2004079066166331	2.040748885488196	2.0946192107213966	2.157285420057386	2.175467759156238	1.6937156455172862	2.007778390911028	1.8225264289430667	1.958096046468707	0.5004988382240195	0.07323256060031595	0.402699512759751	0.12175407678883253	0.3163853397874397	0.2953857037740701	0.23279940240378943	0.6160960937939284
ZAM1_s17_OZA	2.4493418208969557	2.2627130006134357	2.2723392020609845	2.528008041944323	2.450323018358792	2.5939161111050404	2.3594740434765837	2.28110661383346	2.378914289975334	2.2690775108377825	0.3970195622773979	0.39066882901883265	0.14243627679011037	0.2655514562158112	0.4528930528995252	0.0	0.7682792288440771	0.4748060226569338	2.360712783338904	2.2829580709487516	2.4646467496483644	2.4110175969181675	2.661691560028745	2.503731992098267	2.2913843067069224	2.2440845342064013	2.415626116374424	2.444316792755003	0.7333588171731049	0.10299321413255266	0.3865744022462176	0.5189693557548792	0.7207579659490041	0.2576287039770406	0.21762358417589966	0.27256386033247626	2.4065650136469445	1.5344435410016501	2.225031798456004	2.2793222042607755	2.25909897489748	1.9499885209195273	1.9985335494102	2.096780121795795	1.6782607633513125	0.48862462349785585	0.04850909447665819	0.016647026143655087	0.35330542695973405	0.46574274420957323	0.46847931630921047	0.8307390000609607	0.6149520255389019	2.3168046368148394	2.3557234961875317	2.4780780567309058	2.477729019820333	1.9491328523275684	2.3046251944314053	2.1392524172297853	2.276943334907183	0.8362267701923984	0.4016414417137934	0.7581096647193843	0.4532958542263241	0.5449749871388782	0.19396193409353094	0.5842757641897074	0.24266570729031345
